Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MEMS_MIC_V0.PrjPcb|ReportField=ProjectFullPath~C:\Users\stephen\AppData\Local\Temp\Releases\Snapshot\2\MEMS_MIC_V0.PrjPcb|ReportField=Title~BOM_PartType For Project [MEMS_MIC_V0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~13|ReportField=ReportTime~1:11:00 PM|ReportField=ReportDate~10/24/2018|ReportField=ReportDateTime~10/24/2018 1:11:00 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MEMS_MIC_V0.PrjPcb|ReportField=DataSourceFullPath~C:\Users\stephen\AppData\Local\Temp\Releases\Snapshot\2\MEMS_MIC_V0.PrjPcb
NC|Generic 0603 Capacitor|C1, C4|CAPC1608X08M|CMP-nocyn7nhex2srcneo663-2|2
3.3uF|Generic 0603 Capacitor|C2, C3|CAPC1608X08M|CMP-nocyn7nhex2srcneo663-2|2
10uF|CAP CER 1500PF 50V 10% X7R 0805|C5|CAPC2013X94X50LL20T25|CMP-126016-2|1
1k|Generic 0603 Resistor|R1, R4|RESC1608X06L|CMP-iebvg68tg8mmdpxr2n2a-5|2
NC|Generic 0603 Resistor|R2, R5|RESC1608X06L|CMP-iebvg68tg8mmdpxr2n2a-5|2
10k|Generic 0603 Resistor|R3, R6|RESC1608X06L|CMP-iebvg68tg8mmdpxr2n2a-5|2
TI LMV358MMX|IC OPAMP GP 1MHZ RRO 8VSSOP|U1|MSOP08|CMP-4370069-2|1
Knowles Acoustics SPU0410LR5H-QB-7|Mic Mems Analog Omni -38db|U2|PCB-fhaaljglxn5h86y57i6s-1|CMP-9a235714badd45e4-1|1
